iter	Logloss
0	0.6876836194
1	0.6826714609
2	0.6787907999
3	0.6742086135
4	0.6702921162
5	0.6665627634
6	0.6631953339
7	0.6599263866
8	0.6570385451
9	0.6536077323
10	0.6509198353
11	0.6481029254
12	0.6449564501
13	0.6423256272
14	0.639027144
15	0.6360221841
16	0.633507964
17	0.631152142
18	0.629273567
19	0.6269117249
20	0.6249457159
21	0.6228703689
22	0.6201395163
23	0.6179615049
24	0.6161202691
25	0.6140208881
26	0.6126198095
27	0.6110777031
28	0.6094654918
29	0.6074182073
30	0.6060227926
31	0.6042824543
32	0.601898468
33	0.6007301625
34	0.5986632497
35	0.5963534979
36	0.5946697234
37	0.5931667183
38	0.5915008875
39	0.5902628248
40	0.5890084718
41	0.588044321
42	0.5859400532
43	0.584660257
44	0.5831222084
45	0.5813639403
46	0.5792775267
47	0.5777375023
48	0.5768255141
49	0.5753176963
50	0.5738018208
51	0.5728176385
52	0.5715624307
53	0.5706216831
54	0.5695868954
55	0.5680251091
56	0.5662321646
57	0.565716045
58	0.5646293958
59	0.5629506948
60	0.5618074347
61	0.5608617109
62	0.559598154
63	0.5584178603
64	0.5567301814
65	0.5559492566
66	0.5544544427
67	0.5532069248
68	0.5523273977
69	0.551029773
70	0.5501856817
71	0.5489217503
72	0.548209415
73	0.5474737772
74	0.5459635925
75	0.5448547945
76	0.5440493252
77	0.542688669
78	0.5417033403
79	0.5406979037
80	0.5386448223
81	0.5374150466
82	0.5359772801
83	0.5352891914
84	0.5338015999
85	0.5328899004
86	0.5315466366
87	0.5307366632
88	0.5296397455
89	0.5283568089
90	0.5272324337
91	0.5266964532
92	0.5257317808
93	0.5248553366
94	0.5243417965
95	0.5231095755
96	0.5220211267
97	0.5214298755
98	0.5208949571
99	0.5200539388
100	0.519601012
101	0.5187894861
102	0.5179831664
103	0.5168660233
104	0.5159724978
105	0.5150606962
106	0.5142392454
107	0.5135684278
108	0.5125295224
109	0.511649189
110	0.5105430432
111	0.509566951
112	0.5081632528
113	0.5073507641
114	0.506811325
115	0.5060312217
116	0.5053318116
117	0.5043045603
118	0.5037683767
119	0.503073537
120	0.5022378559
121	0.5014949621
122	0.5009153831
123	0.5005437614
124	0.5000963935
125	0.4994587272
126	0.4985110119
127	0.4977910903
128	0.4965957127
129	0.4958618979
130	0.4951815768
131	0.4942126667
132	0.4934487696
133	0.492936082
134	0.4919845418
135	0.4912999524
136	0.4908600327
137	0.4896506773
138	0.4887088552
139	0.4875364962
140	0.4869080536
141	0.4864245076
142	0.4853343571
143	0.4845672554
144	0.4841939631
145	0.4833773288
146	0.482190167
147	0.4813592436
148	0.4810345163
149	0.4803676653
150	0.4798026064
151	0.4787826692
152	0.4780659923
153	0.4775570665
154	0.477002804
155	0.4766565012
156	0.476028162
157	0.4752520801
158	0.4746966993
159	0.4738797012
160	0.4728312935
161	0.471894756
162	0.470840907
163	0.4698561358
164	0.4692117734
165	0.4687295995
166	0.4680827893
167	0.467593195
168	0.4669104086
169	0.4656998247
170	0.4653177577
171	0.4644591005
172	0.4639380062
173	0.4631706859
174	0.4625297761
175	0.4622873012
176	0.4615519189
177	0.461233099
178	0.4601011798
179	0.4597781185
180	0.4591348498
181	0.4586768253
182	0.4582647977
183	0.4577673154
184	0.4572649877
185	0.4567950517
186	0.4562140207
187	0.455504676
188	0.4550137093
189	0.4546338761
190	0.4543187068
191	0.4539250847
192	0.4533435698
193	0.4529981979
194	0.4521039225
195	0.4517583361
196	0.4509521066
197	0.4501314693
198	0.4496342597
199	0.4491573414
200	0.4484906527
201	0.4478207677
202	0.4471453904
203	0.446352031
204	0.4454474372
205	0.4448683032
206	0.4444088018
207	0.4433601202
208	0.4429849682
209	0.4428196715
210	0.4423909861
211	0.4415420969
212	0.4413839341
213	0.4406610887
214	0.4402349586
215	0.439666702
216	0.4388444044
217	0.4380669593
218	0.4376310767
219	0.436963605
220	0.4366757245
221	0.4357858462
222	0.4354283756
223	0.434899039
224	0.4345313712
225	0.4340868397
