iter	Passed	Remaining
0	5	5372
1	10	5195
2	15	5092
3	20	5079
4	25	5034
5	30	5120
6	36	5140
7	41	5129
8	46	5107
9	51	5075
10	56	5048
11	61	5073
12	67	5093
13	72	5083
14	77	5068
15	82	5044
16	87	5035
17	92	5049
18	98	5080
19	104	5105
20	110	5130
21	115	5136
22	120	5133
23	126	5126
24	131	5123
25	136	5120
26	141	5112
27	147	5110
28	152	5111
29	158	5122
30	164	5136
31	170	5144
32	175	5140
33	180	5137
34	186	5139
35	192	5144
36	197	5139
37	202	5136
38	208	5131
39	213	5129
40	219	5141
41	225	5141
42	230	5138
43	236	5134
44	241	5126
45	246	5119
46	252	5127
47	259	5139
48	264	5142
49	270	5137
50	276	5139
51	282	5143
52	288	5161
53	295	5178
54	301	5175
55	307	5179
56	313	5186
57	320	5200
58	326	5210
59	332	5213
60	338	5210
61	344	5211
62	351	5222
63	357	5227
64	363	5233
65	370	5244
66	376	5249
67	384	5265
68	391	5277
69	397	5278
70	403	5275
71	409	5280
72	416	5284
73	422	5287
74	428	5283
75	434	5279
76	440	5276
77	446	5279
78	452	5279
79	458	5271
80	464	5265
81	470	5262
82	476	5261
83	482	5262
84	488	5254
85	493	5246
86	499	5240
87	505	5235
88	511	5230
89	516	5224
90	522	5216
91	527	5210
92	534	5208
93	540	5206
94	546	5204
95	552	5204
96	558	5197
97	564	5195
98	570	5191
99	576	5189
100	582	5187
101	588	5182
102	595	5182
103	601	5179
104	607	5174
105	613	5171
106	618	5162
107	624	5155
108	630	5156
109	636	5153
110	643	5150
111	648	5145
112	655	5143
113	661	5139
114	667	5140
115	674	5137
116	679	5131
117	685	5122
118	690	5115
119	697	5112
120	703	5112
121	709	5108
122	715	5102
123	721	5098
124	727	5094
125	733	5090
126	739	5084
127	745	5078
128	751	5071
129	757	5068
130	763	5063
131	769	5062
132	775	5057
133	781	5049
134	787	5042
135	793	5040
136	800	5041
137	806	5036
138	812	5031
139	818	5028
140	824	5025
141	830	5019
142	836	5012
143	841	5004
144	847	4998
145	853	4994
146	859	4989
147	865	4982
148	871	4976
149	877	4970
150	883	4965
151	889	4962
152	895	4956
153	900	4948
154	906	4942
155	912	4939
156	919	4939
157	925	4933
158	931	4927
159	938	4925
160	946	4932
161	953	4931
162	959	4928
163	965	4921
164	970	4913
165	977	4908
166	983	4904
167	990	4903
168	995	4895
169	1001	4887
170	1006	4880
171	1013	4877
172	1020	4875
173	1026	4871
174	1031	4863
175	1036	4854
176	1043	4850
177	1049	4845
178	1056	4844
179	1061	4836
180	1067	4830
181	1073	4826
182	1080	4822
183	1086	4817
184	1091	4810
185	1097	4802
186	1102	4794
187	1108	4788
188	1114	4782
189	1120	4775
190	1125	4766
191	1131	4762
192	1138	4759
193	1144	4755
194	1150	4749
195	1155	4740
196	1161	4734
197	1167	4729
198	1174	4726
199	1180	4722
200	1186	4714
201	1191	4708
202	1197	4701
203	1203	4694
204	1208	4686
205	1213	4678
